RuokintapaikanId;Kausi;Havainnoija;Biotooppi;Food;Amount;Biotooppi2;YearC;Habitat
5009;2020;7046;Rural;sunflower;317;Rural;12.0421011973735;Rural
5009;2020;7046;Rural;nuts;33;Rural;12.0421011973735;Rural
5009;2020;7046;Rural;cereals;16;Rural;12.0421011973735;Rural
5009;2020;7046;Rural;fat;0;Rural;12.0421011973735;Rural
5020;2020;7046;Rural;sunflower;105;Rural;12.0421011973735;Rural
5020;2020;7046;Rural;nuts;32;Rural;12.0421011973735;Rural
5020;2020;7046;Rural;cereals;15;Rural;12.0421011973735;Rural
5020;2020;7046;Rural;fat;0;Rural;12.0421011973735;Rural
5028;2020;7046;Rural;sunflower;84;Rural;12.0421011973735;Rural
5028;2020;7046;Rural;nuts;4;Rural;12.0421011973735;Rural
5028;2020;7046;Rural;cereals;5;Rural;12.0421011973735;Rural
5028;2020;7046;Rural;fat;1;Rural;12.0421011973735;Rural
5029;2020;7046;Urban;sunflower;13;Rural;12.0421011973735;Urban
5029;2020;7046;Urban;nuts;4;Rural;12.0421011973735;Urban
5029;2020;7046;Urban;cereals;2;Rural;12.0421011973735;Urban
5029;2020;7046;Urban;fat;0;Rural;12.0421011973735;Urban
5141;2020;7046;Rural;sunflower;61;Rural;12.0421011973735;Rural
5141;2020;7046;Rural;nuts;30;Rural;12.0421011973735;Rural
5141;2020;7046;Rural;cereals;0;Rural;12.0421011973735;Rural
5141;2020;7046;Rural;fat;0;Rural;12.0421011973735;Rural
5144;2020;7046;Rural;sunflower;129;Rural;12.0421011973735;Rural
5144;2020;7046;Rural;nuts;15;Rural;12.0421011973735;Rural
5144;2020;7046;Rural;cereals;20;Rural;12.0421011973735;Rural
5144;2020;7046;Rural;fat;4;Rural;12.0421011973735;Rural
5038;2020;7046;Rural;sunflower;71;Rural;12.0421011973735;Rural
5038;2020;7046;Rural;nuts;0;Rural;12.0421011973735;Rural
5038;2020;7046;Rural;cereals;20;Rural;12.0421011973735;Rural
5038;2020;7046;Rural;fat;0;Rural;12.0421011973735;Rural
5041;2020;7046;Urban;sunflower;220;Rural;12.0421011973735;Urban
5041;2020;7046;Urban;nuts;25;Rural;12.0421011973735;Urban
5041;2020;7046;Urban;cereals;15;Rural;12.0421011973735;Urban
5041;2020;7046;Urban;fat;0;Rural;12.0421011973735;Urban
5050;2020;7046;Rural;sunflower;131;Rural;12.0421011973735;Rural
5050;2020;7046;Rural;nuts;3;Rural;12.0421011973735;Rural
5050;2020;7046;Rural;cereals;150;Rural;12.0421011973735;Rural
5050;2020;7046;Rural;fat;0;Rural;12.0421011973735;Rural
5059;2020;7046;Rural;sunflower;58;Rural;12.0421011973735;Rural
5059;2020;7046;Rural;nuts;20;Rural;12.0421011973735;Rural
5059;2020;7046;Rural;cereals;0;Rural;12.0421011973735;Rural
5059;2020;7046;Rural;fat;6;Rural;12.0421011973735;Rural
5063;2020;7046;Rural;sunflower;84;Rural;12.0421011973735;Rural
5063;2020;7046;Rural;nuts;12;Rural;12.0421011973735;Rural
5063;2020;7046;Rural;cereals;2;Rural;12.0421011973735;Rural
5063;2020;7046;Rural;fat;4;Rural;12.0421011973735;Rural
5064;2020;7046;Rural;sunflower;15;Rural;12.0421011973735;Rural
5064;2020;7046;Rural;nuts;12;Rural;12.0421011973735;Rural
5064;2020;7046;Rural;cereals;3;Rural;12.0421011973735;Rural
5064;2020;7046;Rural;fat;5;Rural;12.0421011973735;Rural
5081;2020;7046;Rural;sunflower;58;Rural;12.0421011973735;Rural
5081;2020;7046;Rural;nuts;1;Rural;12.0421011973735;Rural
5081;2020;7046;Rural;cereals;1;Rural;12.0421011973735;Rural
